"","GSM505327","GSM505328","GSM505329","GSM505330","GSM505334","GSM505337","GSM505338","GSM505339","GSM505346","GSM505347","GSM505348","GSM505352","GSM505353","GSM505354","GSM505355","GSM505361","GSM505362","GSM505363","GSM505364","GSM505365","GSM505366","GSM505367","GSM505368","GSM505371","GSM505374","GSM505375","GSM505378","GSM505382","GSM505384","GSM505388","GSM505390","GSM505392","GSM505394","GSM505398","GSM505402","GSM505404","GSM505406","GSM505408","GSM505410","GSM505412","GSM505414","GSM505415","GSM505420","GSM505422","GSM505424","GSM505426","GSM505427","GSM505429","GSM505430","GSM505431","GSM505433","GSM505448","GSM505449","GSM505451","GSM505452","GSM505453","GSM505455","GSM505456","GSM505457","GSM505458","GSM505461","GSM505463","GSM505464","GSM505465","GSM505468","GSM505469","GSM505471","GSM505472","GSM505473","GSM505474","GSM505477","GSM505479","GSM505480","GSM505481","GSM505482","GSM505483","GSM505484","GSM505485","GSM505486","GSM505488","GSM505331","GSM505333","GSM505335","GSM505336","GSM505340","GSM505341","GSM505342","GSM505343","GSM505344","GSM505345","GSM505349","GSM505350","GSM505351","GSM505356","GSM505357","GSM505358","GSM505359","GSM505360","GSM505369","GSM505370","GSM505372","GSM505373","GSM505376","GSM505380","GSM505386","GSM505400","GSM505411","GSM505413","GSM505416","GSM505417","GSM505418","GSM505419","GSM505421","GSM505423","GSM505425","GSM505428","GSM505432","GSM505434","GSM505435","GSM505447","GSM505450","GSM505454","GSM505459","GSM505460","GSM505466","GSM505467","GSM505475","GSM505476","GSM505478","GSM505487"
"212196_at",10.3271,11.8577,9.827,10.4707,10.7468,7.0863,9.2537,7.1307,10.1223,11.2004,10.7727,11.3459,9.4261,10.5061,10.7217,11.0953,8.934,10.2231,12.0542,10.3283,11.574,9.123,11.7281,11.2789,9.844,10.6091,10.3877,6.7427,8.0156,10.1453,9.1768,10.7761,9.5634,9.1656,9.1374,9.7578,11.3173,8.7589,10.0221,9.9588,8.4135,10.6351,10.568,11.0147,8.5348,9.9312,10.3416,10.9603,8.3642,9.5217,11.2653,12.2308,10.7335,11.1389,11.4439,11.3496,8.4339,12.8909,9.7001,11.2684,9.1338,10.0174,9.1098,12.9166,8.091,11.6187,11.9163,11.2903,10.6088,10.01,12.4641,12.3832,11.1174,11.3566,11.4198,9.9947,11.3664,12.1149,12.0296,9.8982,8.1949,7.9229,8.709,7.2873,7.96,9.1967,7.9186,8.5654,9.9328,8.443,7.4955,8.9306,8.3767,8.1316,7.3259,8.3052,8.0438,9.2368,7.7907,8.8659,9.31,8.5608,8.058,8.3936,7.5309,8.8457,7.2141,8.272,9.3,8.2293,5.5412,7.0134,6.99,7.0976,6.7802,8.9692,9.5246,8.1576,9.8442,6.9392,8.0531,7.4045,8.7655,10.1385,9.6773,8.6037,8.761,10.8757,11.3877,8.1374
"219806_s_at",7.8638,9.8862,8.0707,7.59,8.0843,8.7699,9.6149,8.7726,8.1885,7.7254,7.8981,8.917,8.3536,8.5389,8.9974,8.0763,8.8009,6.837,8.5732,9.4362,8.6548,8.1274,8.6662,8.9368,7.8521,6.5961,8.2785,10.6194,8.3838,7.4162,7.869,7.9711,7.6414,8.1941,8.2578,5.4407,8.6893,6.8104,8.2495,9.4394,8.2342,8.17,7.3125,7.3497,9.0661,5.4238,9.6849,9.1879,8.3913,7.4588,9.677,8.9707,6.8383,8.0876,9.4419,8.8404,8.4,6.8222,7.9278,11.0038,8.6973,9.6208,6.3178,7.7993,9.2496,7.9668,7.3639,10.4863,8.9686,8.4294,7.4393,7.4423,6.8629,8.9736,8.7218,9.6496,8.2466,7.5353,8.5687,9.0948,9.981,9.2804,9.5146,11.4363,8.7228,8.8092,9.1168,10.2279,9.2563,9.729,8.8481,10.4969,10.5138,9.7943,10.3252,9.8692,9.7699,9.8204,11.6356,9.6978,10.1335,9.0099,8.7349,9.0913,9.0237,9.1789,10.1636,10.4442,9.7399,9.1258,9.4787,11.401,10.8606,9.2318,7.7794,9.6235,10.0424,9.8949,9.2652,9.5236,9.3153,10.7532,9.1519,9.852,9.106,9.6431,10.6444,8.2446,10.1555,10.2381
"203904_x_at",8.9227,8.9963,9.2336,7.7969,7.8312,9.2939,8.5673,6.4699,9.162,8.4363,8.8915,8.2717,8.3255,9.1287,9.355,8.4322,7.2213,7.6332,8.4961,9.0681,8.0073,8.9503,6.43,9.2528,8.0735,7.3979,5.4677,8.966,9.0232,6.5951,9.0853,8.5039,9.0844,7.0679,7.4116,7.1008,7.184,6.115,8.1984,8.5969,8.3474,7.1445,7.669,8.1431,8.5905,8.474,9.3205,10.2091,6.293,7.1456,8.7516,9.4383,8.3839,7.9407,9.747,8.6008,8.3474,9.3255,6.4629,8.8363,8.2646,10.2301,7.9826,9.2324,8.7092,7.7411,7.2862,9.5775,9.4367,6.6377,9.9675,7.8776,5.7323,8.2555,9.15,8.8953,8.5153,8.239,7.4308,9.2879,9.6852,9.717,9.5425,9.9536,8.806,9.2224,9.6571,10.1328,9.5101,9.6038,8.6105,9.7079,9.5395,10.0214,9.8829,9.4748,10.3389,9.9871,9.6123,9.3809,9.1546,8.5869,9.46,9.0235,9.666,9.2022,9.1372,9.1606,8.9084,9.3007,9.6799,8.3809,9.6238,9.0219,9.0469,9.6026,10.1095,10.0122,10.5533,9.4518,8.3048,8.7232,9.0738,9.4383,8.3623,8.8024,10.3879,8.6455,9.9809,9.4738
"208682_s_at",12.3746,13.0787,11.2795,11.8144,12.0966,10.3644,10.1621,10.0764,9.9053,12.1195,12.5853,12.487,12.2879,10.8882,11.8838,12.1953,11.1816,11.0502,13.0456,10.6646,13.2664,10.6068,11.4847,11.8161,12.3332,10.4225,12.8651,12.5426,10.9999,12.2245,12.3781,12.2742,11.3167,13.4905,12.8653,13.6182,13.3513,11.0504,10.8461,9.6359,10.9713,12.3162,10.8614,10.5076,11.4527,12.2417,10.0193,10.9094,11.8393,12.5662,12.0292,11.0181,11.8219,11.0058,11.5322,11.0184,10.3906,11.9772,11.7903,10.9608,11.7722,11.053,13.097,12.2525,10.1663,12.4706,13.417,11.3153,11.2442,10.6446,11.8212,11.5023,12.5161,10.8065,11.5059,11.5796,10.8795,12.1891,11.9794,11.303,9.7605,8.3875,11.1263,9.1876,10.0106,10.27,11.0808,10.3881,11.0533,9.3447,9.6745,9.8108,9.5312,9.971,11.8471,9.9441,9.9268,8.8272,9.5082,9.0867,9.6567,9.8274,10.3933,11.6363,13.6939,9.6627,10.6594,10.0727,10.6801,9.5394,10.2565,9.4326,9.8733,9.249,10.5861,9.5114,12.1344,9.4326,8.8489,10.4871,10.8522,8.7583,10.2938,9.7422,10.1471,9.7833,9.477,11.9871,10.116,10.5702
"202139_at",9.6771,10.8085,10.235,10.4734,9.9898,9.0736,9.1642,10.3352,10.4076,10.4654,9.8785,10.4237,11.5728,10.0449,9.899,10.2601,10.1226,10.6952,10.3088,9.6331,10.9027,8.9889,9.4277,9.5324,10.5449,9.6266,11.0214,10.0576,8.8575,9.8995,9.4938,10.3617,9.9631,9.4675,9.9508,9.793,9.8288,10.9793,8.5443,9.7683,9.3351,10.051,10.5579,9.9118,8.9604,10.2981,10.5468,9.4291,10.1446,9.5153,9.7727,9.8146,9.9777,10.2915,10.5553,10.2042,10.1527,10.4393,9.8458,9.7039,10.8259,9.2985,10.355,10.7703,9.0725,9.8534,10.9287,9.1478,9.6885,8.9228,10.5715,10.4938,9.6001,9.3315,9.5583,9.7096,10.6821,11.4846,10.1097,10.0131,9.1326,9.1653,9.6656,9.741,9.0234,8.9808,9.562,9.4932,9.7562,9.169,9.4119,9.5314,9.8142,8.7847,9.3912,9.2431,9.6776,9.411,8.7422,9.988,9.1598,9.3023,9.2324,9.8411,9.5328,9.5099,8.5122,9.3583,8.756,9.8552,8.6079,8.3515,9.4855,9.0506,9.3689,10.2692,9.8319,7.7979,8.8434,9.051,8.6956,9.2413,9.5519,9.3898,10.3299,9.7448,9.4302,9.9813,9.2225,8.8837
"204862_s_at",10.5762,10.7305,10.6803,10.3446,10.6104,11.1236,8.7244,10.0311,10.7254,11.1794,11.1375,11.3909,10.7828,10.6248,10.1305,11.3692,10.8058,11.2639,11.3278,10.6669,11.1852,9.5408,9.7819,10.6722,11.3682,11.2805,11.6426,11.6321,11.5274,11.1443,10.9176,11.3105,11.8567,10.9048,11.5678,11.1534,10.7528,11.6436,10.2708,9.9613,11.4809,11.5435,10.9904,11.1375,10.7378,11.9888,10.534,11.5684,9.3534,12.687,10.6622,10.3014,9.948,10.5505,9.3473,10.1611,10.391,10.401,10.5481,9.1534,10.0159,9.8986,10.328,9.9576,9.0242,11.037,10.3603,9.5535,9.2983,9.1472,10.606,9.916,10.88,9.6671,10.4411,10.1686,10.2458,10.7756,10.7841,11.0185,9.0206,9.1647,9.181,8.6182,9.8439,9.7092,10.0539,9.7404,9.3065,8.1859,8.9664,9.6172,9.2929,9.6242,8.6571,8.8653,9.5046,9.568,9.5946,9.9619,9.3203,10.2417,11.1714,10.6326,11.3985,9.652,9.8921,7.408,10.4021,7.5714,10.8157,11.1991,8.4254,9.446,10.2985,8.8696,10.4846,8.9473,8.8669,9.7413,9.5756,9.9197,9.6688,9.4468,8.9188,9.6924,9.1413,10.4513,8.9496,9.2492
"218195_at",11.0995,11.6987,10.9932,10.7655,11.3075,9.9185,10.4579,11.9377,12.0681,10.8388,11.0545,10.5461,12.3787,9.0447,9.421,10.4596,10.4496,13.1833,12.1323,9.4675,10.7806,9.5435,10.6317,8.9522,7.6909,9.7987,11.5731,10.0501,10.7916,11.8679,9.6853,7.5947,7.6044,8.6416,7.5246,9.0443,11.5855,9.6235,9.0539,7.4777,9.2636,10.8484,9.1045,10.308,7.2173,9.4239,10.4678,10.0274,11.9514,10.6229,8.8227,9.6801,10.326,9.9663,10.2215,11.348,12.4102,11.0581,12.2754,9.6256,9.8469,9.943,11.7661,10.2107,10.1079,11.4682,10.748,9.6707,11.0811,13.4552,9.7479,10.7772,11.5353,10.8182,10.8706,9.9949,12.5278,10.878,10.7407,10.2513,8.2721,7.9139,8.1801,8.3366,7.4925,8.3895,7.6365,7.4394,10.2975,7.7218,9.1125,8.4745,7.3297,8.1754,9.3182,8.0894,8.8225,7.3223,8.6636,8.6621,7.4783,9.5644,5.2967,8.3504,7.1592,8.1433,7.6275,6.9624,8.0094,6.1922,7.7852,6.9487,6.1667,6.4936,7.758,8.8548,9.636,7.4383,8.9216,7.5173,12.0259,8.4426,10.4997,8.2384,8.4483,8.3483,8.4427,11.2198,9.4797,8.75
"201413_at",11.7633,10.974,10.6308,10.312,11.0842,10.7038,10.7947,9.3608,10.1884,11.8005,11.1881,11.6519,11.0339,11.7166,10.1406,11.2212,10.7933,10.9111,10.6076,11.5665,11.3665,11.0225,10.8989,11.0801,11.0113,10.5434,11.0876,10.6042,10.908,11.4665,10.91,10.7191,10.4928,9.9687,10.6155,11.6907,11.2294,10.8337,9.4377,10.9344,11.2823,11.5467,10.5642,10.3737,9.9685,12.039,10.6393,10.9399,10.7628,11.519,10.6813,12.1447,11.4642,11.8608,11.8488,10.478,11.5789,11.0365,11.2273,11.585,10.0876,10.8727,11.0048,11.4385,10.1657,11.3385,9.9228,10.7551,10.6985,10.4851,11.1347,11.6749,11.3516,11.1937,11.6572,11.9665,12.1697,10.6715,10.5932,11.4787,10.0372,9.8207,9.6725,9.3934,9.8636,10.7594,10.115,9.074,9.7682,8.9542,8.7777,10.8168,9.3037,9.6825,10.5714,8.9214,10.381,9.5416,9.7692,9.9902,9.9949,10.5961,10.3742,10.5937,10.0811,9.0125,10.0261,9.6849,10.794,9.9372,9.0796,10.3175,9.3911,9.8139,10.1578,9.5337,10.6102,10.3203,9.9206,10.1045,10.6755,10.1242,11.3139,10.3932,11.6277,9.8479,9.4297,11.4468,10.3092,11.4872
"210652_s_at",10.4112,10.7415,10.5217,9.0653,10.3543,9.681,9.5257,10.9734,10.6153,11.1991,8.4125,11.364,10.1228,10.0802,10.2364,11.7925,10.6306,12.0143,9.2848,9.3926,11.7398,10.1134,9.2823,9.5221,10.33,10.8154,11.0721,11.9278,11.4601,9.6819,9.5574,10.8901,9.9321,9.0426,9.5918,11.2093,10.307,11.6449,11.7804,8.3486,8.1356,10.551,12.2361,10.3226,8.947,11.4051,8.1472,9.7247,9.8392,8.6997,11.1641,10.7312,10.3014,11.0825,10.0777,10.2375,10.8265,12.6892,13.0083,9.9122,9.5402,8.9696,11.2809,10.8217,9.3391,10.9693,10.2448,10.9729,11.1397,11.4618,12.0442,11.9042,10.749,9.09,9.9603,9.4477,9.9106,10.302,9.8694,10.484,8.8334,7.7222,9.634,7.534,7.8681,10.0096,8.5111,9.0076,10.6656,7.5041,9.7586,10.8942,8.8192,8.4403,9.8669,7.7961,7.6871,8.5245,9.8576,7.0468,7.9407,10.1741,10.0325,10.0193,7.9387,9.8624,8.9034,7.8485,9.6788,5.0684,8.3007,10.2472,6.5398,8.8021,8.6381,6.8519,10.3211,9.037,6.376,7.9305,10.1099,8.1011,8.0396,5.9902,5.4376,8.2289,8.3703,9.5071,7.7349,9.4517
"41660_at",11.0664,10.5072,10.4909,8.6449,9.9066,10.005,8.928,9.2357,10.8098,10.6831,9.2862,9.7212,9.7451,9.7797,8.5022,10.9353,10.0935,10.7009,10.0065,10.3689,10.1128,9.0973,11.34,10.3216,10.0326,9.8602,9.3621,8.8967,8.8759,8.2547,9.0764,10.5677,7.7574,9.4427,9.3224,8.6402,10.1347,9.3748,10.522,7.507,11.1303,10.1914,9.9656,8.9782,7.9757,9.9475,6.623,9.9094,9.5214,10.0491,8.8332,10.4419,9.4987,10.0383,9.3625,6.3954,9.7775,9.0444,9.8925,8.1915,9.6858,8.3137,10.8653,9.521,8.8422,9.398,7.5857,9.0855,8.3134,10.5014,10.4392,9.3215,9.2415,8.4341,8.6413,8.3001,10.4862,11.2294,9.104,9.8459,7.1483,6.4363,8.6277,5.9426,9.8691,8.869,7.2838,5.665,9.3741,8.0666,5.9222,7.2576,8.0017,7.7546,7.6812,6.5394,6.8771,7.2436,7.8809,7.7368,7.7016,8.9184,8.2046,9.6023,9.6887,7.3392,7.2785,7.1716,9.6268,9.0462,9.0246,7.9993,8.163,6.8363,8.4753,7.2518,8.3997,8.2869,6.4193,9.0875,9.2215,7.1819,7.7137,6.8946,6.6435,8.2209,7.5205,9.7033,8.055,7.4649
"212219_at",9.7403,9.1851,9.2293,8.0183,9.507,10.195,9.3069,10.3701,9.2891,9.8988,8.9982,9.4993,8.8486,9.4275,10.1265,9.2629,8.7923,9.018,9.4172,9.675,9.418,10.3461,9.1956,10.0462,9.8934,9.3926,9.4132,10.2223,10.833,9.6193,9.5513,10.3823,9.6164,8.5396,9.1547,10.1616,9.987,8.8361,10.0685,9.6248,10.3535,9.3922,10.6589,9.7483,10.0004,9.996,8.5497,9.1608,9.3742,9.0296,9.2044,8.974,10.1194,9.8873,9.3039,9.3135,9.1789,10.4375,8.8827,9.3151,9.874,9.398,8.8072,9.4514,10.2185,9.7493,8.2705,9.372,9.0589,9.5992,9.277,9.9423,9.8466,10.1897,9.6549,9.2657,9.3396,9.9958,9.6711,9.5028,10.5228,10.467,10.6626,10.939,10.614,9.5651,10.358,10.1321,9.9582,10.6571,10.279,10.511,9.8925,9.8396,9.5518,10.7243,11.7759,10.6964,10.551,10.8636,9.876,10.0156,9.1455,10.2987,10.2054,9.6282,10.6951,9.8642,9.8639,9.4653,11.0154,10.0376,10.4593,11.0087,10.5512,10.0304,10.5444,10.2288,8.8232,10.2539,10.7288,10.1299,10.5263,10.1138,10.0193,10.5535,10.3793,10.5732,9.509,10.3345
"214552_s_at",9.8961,8.6694,9.0867,8.1349,9.0221,9.0261,8.8118,8.3807,8.7791,9.9123,9.0683,9.1478,8.3457,8.9398,9.457,9.2843,8.7476,8.7749,10.3356,8.746,10.8312,9.4148,9.1826,9.2208,7.7502,9.3933,9.4815,9.2497,8.2711,9.3145,8.0765,9.2849,8.3691,9.9868,9.562,9.603,9.5749,8.3635,8.8068,7.9218,8.307,8.4881,8.5471,8.8544,8.4526,8.3643,8.5246,7.9267,8.9876,8.3057,9.0449,9.0617,8.9473,9.6474,8.704,8.9493,8.8475,10.1816,8.545,9.361,8.7733,8.9374,8.9992,9.6552,8.5619,9.8213,9.8082,9.5248,9.0775,9.5195,9.4007,9.2667,9.9731,9.5884,8.0989,8.7692,8.7256,9.3345,9.3316,8.6496,7.8996,7.6154,8.3517,8.3191,8.1282,8.2668,7.846,6.7915,9.9873,8.1365,7.9074,7.6204,7.9097,7.6856,8.044,7.7708,7.7673,7.9405,7.4246,8.1882,7.7189,8.2829,7.9698,8.3237,7.782,8.4823,6.5407,8.6215,8.6946,7.2963,8.3303,6.4992,7.8312,7.9272,7.9581,7.672,8.6939,8.5398,8.3902,6.9152,8.2684,7.4499,8.139,7.8098,7.9463,7.6551,7.8448,9.5312,8.3642,8.7557
"219913_s_at",10.7725,9.7939,10.0879,10.5886,9.6475,8.6731,8.7521,9.6732,9.5766,9.6452,9.1321,9.4746,9.8555,9.3418,8.6098,9.493,9.1538,9.8568,9.3154,9.4489,9.9644,8.8787,10.1466,8.7529,9.5935,9.4558,10.7767,9.629,9.9871,10.3913,9.1042,9.1342,8.5852,9.4448,8.9566,9.1803,9.5892,10.3947,9.6182,8.5113,8.8974,10.5163,9.6929,10.1296,8.9394,9.6677,9.8418,9.5762,9.3633,9.5309,8.7482,9.5319,9.9968,9.3818,9.4855,9.985,9.6541,10.6535,10.238,9.2597,9.5921,9.0401,9.3793,9.6719,9.7344,10.0898,10.8759,9.167,9.516,9.6623,10.336,9.7638,9.7363,9.1847,9.8565,9.966,10.0899,9.2867,9.4369,9.5627,8.2174,8.408,8.6022,8.9545,8.497,9.7325,9.3573,8.3586,8.8694,8.549,9.8929,8.2521,8.4699,7.8011,8.5755,8.3659,8.9222,8.8905,7.8186,8.7766,8.6923,9.2038,7.5596,9.7859,9.136,7.7705,7.4122,8.8762,8.3905,8.9391,7.6893,7.2887,8.4739,7.995,8.8565,8.9152,9.0013,9.2375,8.8493,8.8046,8.0671,8.9605,9.898,9.2285,8.8167,8.7224,8.8618,9.7297,9.1918,8.5532
"203143_s_at",8.8893,9.9808,8.4284,8.432,8.5334,8.6563,9.6874,8.3288,9.3102,9.5896,9.5971,11.9116,9.2398,10.0896,9.9675,10.3866,8.9293,9.5641,8.9018,9.8329,10.419,8.2575,10.5599,9.7368,9.1355,10.0252,9.0032,9.2329,8.9604,9.1634,9.6987,10.2933,10.0953,10.5712,9.9228,10.2541,10.0977,8.3773,8.7952,9.6997,9.2017,10.926,10.2468,11.3776,10.0183,9.7423,9.149,10.4352,7.4538,8.0904,9.241,10.7816,10.3376,10.5551,10.1992,9.2582,8.4323,11.6405,11.3182,8.2742,10.2035,9.3122,8.8058,9.7766,8.3631,9.5054,8.142,9.0141,9.7242,8.7213,11.1332,10.0245,10.2912,9.4192,8.7352,9.2393,9.5583,10.5437,10.6256,8.5229,8.2422,8.8707,8.782,7.7838,8.6883,7.9517,9.1238,7.7489,8.5993,9.2004,8.791,8.0132,6.842,8.7848,8.1848,8.7906,8.2928,8.2597,8.2834,8.8462,8.459,9.1488,8.2652,8.7093,8.9652,8.9646,8.219,9.4439,9.2538,6.8527,8.3501,8.4788,6.2875,7.6669,9.86,8.9675,9.0134,7.826,9.7947,8.7673,8.3105,7.5767,8.7718,7.434,7.4295,7.8731,8.0038,9.3082,8.8528,7.4811
"212638_s_at",11.7337,11.4524,12.0208,11.8221,10.2163,10.6991,10.5791,12.4509,11.6317,11.4267,11.1546,11.0424,11.9158,10.0731,10.301,11.2114,10.655,12.1924,11.4416,10.797,11.9591,11.9413,11.3416,11.0385,11.6676,11.0624,11.4039,11.5837,11.3579,11.7143,9.9569,10.444,10.7624,10.984,11.1402,10.1639,11.3757,11.8366,10.2217,10.1904,11.1802,11.4207,9.7343,11.6725,10.6698,12.1533,11.238,10.8251,9.8851,11.9535,10.2887,11.3759,12.4971,10.9367,11.552,10.4421,11.1251,11.6142,11.8629,11.2502,11.875,10.4715,11.5219,11.3843,10.8763,12.1734,11.8953,11.8018,10.5905,10.8932,11.3273,11.6011,11.2626,9.5437,11.4764,12.0503,11.5279,12.8544,11.9789,10.6596,11.3121,9.6823,10.7692,9.9999,9.6299,10.3085,10.6256,11.3392,9.7966,8.799,11.2238,10.4894,10.039,9.8716,10.9159,8.9729,9.4904,9.6986,9.5126,9.4569,9.1695,10.6046,9.0734,10.5233,8.5671,10.5767,8.9679,8.5307,9.9256,9.5558,10.3938,10.2786,9.5179,7.6491,12.1839,9.686,10.9958,10.1204,10.2894,10.1985,9.8447,8.6403,10.6603,9.2557,10.2901,10.5228,10.2786,11.5237,10.0946,9.7368
"201754_at",14.6672,15.1851,14.9128,15.2968,14.4895,14.0527,12.7044,14.6717,14.3946,14.9116,15.535,14.9669,14.8403,13.1913,14.5142,14.1972,14.1259,15.0828,14.5366,14.6695,14.9083,14.7131,14.9625,13.5283,15.5202,15.487,14.6673,13.2348,14.6431,14.3935,14.7725,15.0679,13.8252,15.5934,15.1152,14.4917,14.7366,14.731,13.4877,12.8693,15.7108,15.9254,13.9353,15.8319,15.3643,15.1987,14.5995,14.5121,14.2055,14.7042,15.0159,14.5511,15.3918,15.4438,16.1339,13.2701,15.5731,15.1798,14.8,12.7651,15.6051,13.2633,14.8607,15.2648,14.2568,15.8332,15.7158,12.209,13.7846,14.7946,15.6844,14.526,15.4612,13.4667,14.7374,14.7056,13.7624,15.9593,15.77,15.3318,14.0147,13.2727,14.4283,13.4845,12.6604,13.6393,13.8147,13.5301,13.6923,12.5206,13.6705,13.656,14.4878,12.2354,13.9865,12.357,13.5352,13.4404,13.4918,12.6939,12.1815,14.6929,13.4871,13.6213,12.8591,13.6981,13.1726,12.5623,12.8462,13.8081,13.8316,14.5722,13.4669,14.3829,16.0553,13.5956,13.5043,13.5342,13.1294,14.2033,13.1132,13.5631,14.255,13.6222,14.1576,13.1749,13.6375,15.9536,12.7118,12.889
"202641_at",10.1932,9.7208,10.1136,10.0578,9.3674,9.0482,10.1751,8.2598,10.8245,10.6241,8.8616,10.1526,10.7482,9.3274,10.0477,11.1484,9.9847,10.068,10.544,9.5332,10.1918,9.0585,9.7565,10.177,10.3267,10.6717,10.5767,9.7051,9.2741,10.7218,9.8046,10.0905,10.8079,10.4804,10.0173,11.0458,10.5737,9.0451,9.7353,9.1469,10.5964,10.177,10.3138,10.5668,9.3492,10.6722,9.3581,10.1143,9.3936,10.2424,9.1208,10.2745,10.1545,11.2389,10.6314,10.537,9.5492,11.7048,10.5314,10.1318,9.801,9.6362,10.885,11.0245,8.8759,10.7657,10.7835,10.2341,9.4848,10.6657,10.9568,10.7987,10.1555,10.5532,10.2485,10.3607,10.9974,11.9011,10.5184,11.5384,8.5456,8.7381,8.7973,9.0609,8.8785,10.3316,9.0481,9.0765,10.1928,9.2523,8.4074,7.9411,8.7286,8.8627,9.4142,8.6813,8.6836,9.1133,8.8059,9.173,9.0736,9.8649,8.9365,10.4444,9.4675,8.5284,9.1106,9.233,9.6793,9.6577,9.6515,8.9713,8.9176,8.6778,8.6727,9.6345,9.9146,9.0348,8.4291,9.6806,10.1037,9.1349,9.1046,9.7089,9.6319,9.1895,8.5808,11.1666,8.6332,9.5965
"203693_s_at",7.7772,7.5019,7.0139,7.3541,8.2366,9.1131,8.0724,8.6971,8.789,7.216,8.0205,7.0437,7.4609,8.8502,7.481,8.4732,7.7753,7.3884,7.9631,8.2499,6.5915,8.2841,8.7104,7.9179,8.3877,7.7365,7.7091,7.6341,9.666,8.1162,7.8848,4.5194,7.6736,8.2155,7.8536,4.5509,7.6404,8.4876,9.946,7.734,8.3714,7.7115,8.1907,5.5863,7.7755,8.8581,8.5035,8.1434,7.9742,8.0906,7.6399,7.7255,7.768,7.9944,7.5043,8.1384,7.6761,8.2454,8.0422,7.9397,8.6628,8.2461,6.683,7.45,9.1049,7.2941,7.9274,7.8794,8.2538,7.9329,7.928,7.699,8.6183,8.0866,8.5138,8.726,7.5438,7.55,6.2596,8.4891,8.3013,9.028,9.2858,9.7804,8.985,8.5468,8.8134,8.9117,9.2303,9.2152,8.7341,7.8563,8.5376,9.116,8.2969,9.7119,8.8308,9.6354,9.3852,9.2967,8.6007,8.4116,8.2263,8.8271,8.1757,8.9571,9.2243,8.7363,8.3083,8.6903,9.0612,9.0286,10.0273,9.8153,8.2372,8.7834,8.3894,10.2173,8.4781,9.2426,8.8019,9.382,8.4121,9.4491,9.6783,9.141,7.6804,8.7596,8.3148,7.5715
"212276_at",7.6422,9.0944,8.4452,9.3088,10.404,9.4434,9.6562,8.6545,7.6694,7.7396,10.3456,8.6441,9.0727,8.4445,8.7884,7.8818,8.5829,8.3172,8.6798,8.6603,8.0403,8.8948,8.3559,9.1927,8.8102,8.5097,8.2986,8.1827,8.8104,6.5913,7.5313,8.2163,8.3955,8.4425,9.1649,8.8239,8.5259,8.5697,8.2348,9.1973,8.4576,8.6588,8.5594,8.2346,8.978,8.2499,9.314,8.551,8.7343,8.4256,9.0637,8.6911,7.531,7.0332,8.5012,9.9862,8.065,7.0598,8.5148,9.0682,8.7297,10.2319,8.5608,7.7044,8.9405,8.7968,7.5142,9.2151,9.286,6.9933,7.1699,7.2029,8.737,8.6206,8.1034,7.8746,8.1036,7.3479,8.8002,8.0361,10.2338,9.3869,8.6111,10.8303,9.1884,9.202,9.2562,8.9022,10.6992,9.8984,8.7401,10.5622,9.8181,9.7899,8.647,9.8911,11.8607,9.3204,10.6586,10.9085,10.0927,8.3755,9.9307,9.1258,8.1639,9.0707,11.1153,9.5916,9.5343,7.8342,10.2177,9.1599,9.7416,11.2097,8.9463,9.7385,9.3973,9.0465,10.2231,8.5319,8.6153,11.2456,8.6559,9.1917,9.7728,11.2741,11.5555,8.8905,10.0214,10.0409
"35666_at",11.3412,11.6222,11.7091,12.3499,11.4389,10.9169,10.5579,11.0748,11.8089,11.1142,10.8025,11.2943,11.8532,11.4718,11.2886,12.2565,11.5405,12.5338,11.1935,11.3441,11.011,11.0234,11.2466,10.269,11.7675,12.2441,11.3216,10.7172,10.7683,11.279,10.9685,10.8355,11.5414,10.4025,11.0631,11.088,11.4604,10.9168,11.6039,9.791,11.09,11.4918,11.2839,11.1173,10.8172,11.6381,11.8649,11.8412,12.0456,11.8888,11.0285,10.6301,11.1293,10.8662,10.1958,9.1544,10.9584,11.0404,11.502,10.3246,11.0244,9.6307,11.2541,11.094,11.5472,11.6395,11.645,10.7844,9.8342,9.9668,11.178,9.7634,11.6942,11.3693,10.6059,11.3809,11.6166,11.9103,11.4415,12.1663,9.529,10.754,10.4379,9.2288,11.4921,11.2267,10.6545,10.9645,10.0586,10.326,10.7131,9.2333,10.551,9.7121,10.6775,9.3264,10.4082,9.3083,9.6058,9.573,9.6377,12.0356,9.9864,10.3779,10.1477,10.1272,9.8099,10.1312,10.5448,11.7234,10.4059,10.6481,9.583,10.0924,10.3891,9.3271,11.1007,11.7611,8.7692,9.6618,10.446,9.9807,10.2678,8.8428,10.2094,10.1115,10.329,11.0068,9.1664,10.0516
